title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:50:05.804103
SQL Data Engineer,Intone Networks,2026-05-16T10:50:05.823378
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:50:05.839212
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:50:05.855936
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:50:05.876270
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:50:05.891718
"Senior Data Engineer - Fort Gordon, Georgia (APOGEE)",Celestar Corporation,2026-05-16T10:50:05.906832
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:50:05.921543
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:50:05.933800
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:50:05.946612
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:50:05.959031
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:50:05.978062
"Engineer I, Data Platforms",AARP,2026-05-16T10:50:05.991482
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:50:06.004135
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:50:06.018248
Senior Data and Software Engineer (10_2025.4),Affinity Solutions,2026-05-16T10:50:06.030814
